SentenceId,EpisodeId,Season,Episode,Sentence
124,1,1,1,"Ted: Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty. (Robin laughs and waves to her friends) Oh, your friends don't seem too happy."
125,1,1,1,"Robin: Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... ""The enemy""."
126,1,1,1,Ted: You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.
127,1,1,1,Robin: She would love that! It does look fun in the movies.
128,1,1,1,"Ted: Hey, you wanna have dinner with me Saturday night?"
129,1,1,1,"Robin: Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big (cut) so my news is covering it."
130,1,1,1,Ted: That's going to take a week?
131,1,1,1,"Robin: Yeah, he's going to eat it too, it's another record."
132,1,1,1,"Robin's Dumped Friend: Hey, what's taking so long?"
133,1,1,1,"Ted: Uh, I know this is a long shot, but how about tomorrow night?"
134,1,1,1,"Robin: (stops) Yeah, (agrees) What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun."
135,1,1,1,Barney: (comes back laughing) De-wait for it-nied! Denied!
136,1,1,1,Ted: We're going out tomorrow night.
137,1,1,1,Barney: I thought we were playing laser tag tomorrow night?
138,1,1,1,"Ted: Yeah, I was never going to go play laser tag. (Wipes alcohol off his face)"
139,1,1,1,
140,1,1,1,Scene Six
141,1,1,1,"(Bistro, Ted's date with Robin. There's a blue French horn showcased on the wall a table away from theirs.)"
142,1,1,1,"Narrator: The next night, I took her out to this little bistro in Brooklyn."
143,1,1,1,Robin: Wow that is one bad-ass blue French horn.
144,1,1,1,Ted: Yeah.
145,1,1,1,Robin: Mhmm.
146,1,1,1,Ted: Sort of looks like a... Smurf pen1s.
147,1,1,1,(Scene Freezes)
148,1,1,1,"Narrator: Son, a piece of advice. When you go on a first date you really don't wanna say ""smurf pen1s"". Girls don't ordinarily like that."
149,1,1,1,(Scene unfreezes. Robin spits her drink back into her glass. Laughs)
150,1,1,1,Narrator: But that was no ordinary girl.
151,1,1,1,[Cut to the Apartment]
152,1,1,1,(Lily and Marshall are sitting on the couch. Lily's wearing an eye patch on her left eye and is totally unaware that Marshall is sitting bedside her because of the eye patch.)
153,1,1,1,Marshall: Lilly?
154,1,1,1,(Lily jolts)
155,1,1,1,Lily: How long have you been sitting there!? Stupid eye patch.
156,1,1,1,(Ted enters)
157,1,1,1,"Ted: Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman?"
158,1,1,1,Marshall: Oh let's see (thinks) she likes dogs?
159,1,1,1,[Flashback to Date]
160,1,1,1,Robin: I've got five dogs.
161,1,1,1,[Flashback over.]
162,1,1,1,Marshall:...she drinks scotch?
163,1,1,1,[Flashback to Date]
164,1,1,1,Robin: I love a scotch that's old enough to order its own scotch.
165,1,1,1,[Flashback over.]
166,1,1,1,"Marshall: Can quote obscure lines from ""Ghostbusters""?"
167,1,1,1,[Flashback to Date]
168,1,1,1,"Robin: Ray, when someone asks you if you're a god you say, ""Yes!"""
169,1,1,1,[Flashback over.]
170,1,1,1,Ted: And I'm saving the best for last.
171,1,1,1,[Flashback to Date]
172,1,1,1,Robin: Do you want these? (Holding up remaining olives from her plate) I hate olives.
173,1,1,1,[Flashback over.]
174,1,1,1,Marshall: She hates olives! Awesome!
175,1,1,1,Lily: The olive theory.
176,1,1,1,[Flashback to Date]
177,1,1,1,"Ted: The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance (eats olive)."
178,1,1,1,"Robin: You know, I've had a jar of olives just sitting in my fridge forever."
179,1,1,1,Ted: (flirting) I can take them off your hands.
180,1,1,1,Robin: (flirting back) they're all yours.
181,1,1,1,[Flashback over]
182,1,1,1,"Marshall: Oh, it is on! It is on (imitates robot) till the break of dawn."
183,1,1,1,"Lily: wait, it's only the break of ten-thirty. What happened?"
184,1,1,1,[Flashback to Walking Robin home]
185,1,1,1,"Robin: I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French."
186,1,1,1,Ted: No Green Clarinet?
187,1,1,1,Robin: No.
188,1,1,1,"Ted: Come on, no purple tuba?"
189,1,1,1,"Robin: It's a smurf pen1s, we're no dice."
190,1,1,1,(Metro News 1 Van appears)
191,1,1,1,"Producer: (from inside van) there you are! We've got a jumper! Some crazy guy on the Manhattan Bridge. Come on, you're covering it!"
192,1,1,1,"Robin: Um, alright. I'll be right there. (To Ted) I'm sorry. I had a really great time tonight."
193,1,1,1,Ted: Yeah.
194,1,1,1,[Flashback Over]
195,1,1,1,Marshall: So? Did you kiss her?
196,1,1,1,"Ted: No. The moment wasn't right. (They sigh) Look, this woman could be my future wife; I want our first kiss to be amazing."
197,1,1,1,"Lily: Aww, Ted that's so sweet. So you chickened out like the little bitch."
198,1,1,1,Ted: What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.
199,1,1,1,"Lily: Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him."
200,1,1,1,(Calls Barney)
201,1,1,1,(Barney's playing laser tag on the other end of the line)
202,1,1,1,"Barney: (Phone) Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I killed you Connor; don't make me get your mom!"
203,1,1,1,"Ted: Hey, listen. I need your opinion on something."
204,1,1,1,"Barney: Okay, meet me at the bar in fifteen minutes-AND SUIT UP!"
205,1,1,1,
206,1,1,1,[Slides to Bar Scene]
207,1,1,1,"(Lily, Ted, Barney and Marshall sitting at a table)"
208,1,1,1,Ted: So these guys think I chickened out. What do you think?
209,1,1,1,Barney: I can't believe you're still not wearing a SUIT!
210,1,1,1,Ted: She didn't even give me the signal.
211,1,1,1,"Barney: What is she goanna-is she goanna bat her eyes at you in Morse code (bats eyes)?? Ted (bats eyes) Kiss me-No, you just kiss her!"
212,1,1,1,Ted: Not if you don't get the signal.
213,1,1,1,Barney: Ee-(Kisses Marshal) Did Marshall give me the signal?
214,1,1,1,"Marshall: No! (To Lily) I didn't, I swear."
215,1,1,1,"Barney: But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her."
216,1,1,1,"Ted: Urgh, I should've kissed her. What about when she gets back from Orlando?"
217,1,1,1,Barney: A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words: you will never see that one again.
218,1,1,1,(notices Robin on Metro News 1 On TV)
219,1,1,1,Ted: There she is...
220,1,1,1,"Lily: Ooo. She's cute! (To Carl) Hey Carl, turn it up!"
221,1,1,1,"Robin: (on TV)...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from"
222,1,1,1,"Marshall: Huh, guy didn't jump"
223,1,1,1,"Robin: (on TV) Metro One News, back to you bill."
224,1,1,1,Ted: I'm goanna go kiss her. Right now.
225,1,1,1,"Marshall: Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you: that's freakin' crazy!"
226,1,1,1,"Ted: I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death."
227,1,1,1,"Barney: Actually, that is a perfect metaphor. By the way, did I congratulate you two? (Raises glass to Lily and Marshall)"
228,1,1,1,Ted: I'm doing this. (Starts to leave)
229,1,1,1,Lily: Let's go (pulls Marshall up)
230,1,1,1,Marshall: Word up!
231,1,1,1,Lily: We're coming with you.
232,1,1,1,Ted:...Barney?
233,1,1,1,"Barney: Alright, but under one condition."
234,1,1,1,[Cut to Scene in Taxicab]
235,1,1,1,"Barney: (happy) look at you, you beautiful b*st*rd, you suited up! This is totally going in my blog!"
236,1,1,1,Ted: (To Ranjit-Cabdriver) Stop the car. Uh-pull over right here. I gotta do something.
237,1,1,1,(Runs into the bistro he was in on his date with Robin climbs on peoples table)
238,1,1,1,"Ted: Excuse me, pardon me. (grabs the Blue French Horn) Enjoy your coffee. (Runs away)"
239,1,1,1,"Waitor: Hey, HEY!"
240,1,1,1,(Jumps back into the taxicab)
241,1,1,1,"Ted: go, go, GO! (looks to his friends. Shrugs) Everybody brings flowers."
242,1,1,1,[Fade out]
243,1,1,1,
244,1,1,1,Scene Seven
245,1,1,1,(Taxicab)
246,1,1,1,Ted: (Exhales) Okay. Moment of truth. Wish me luck. (Exhales)
247,1,1,1,Barney: Ted's goanna get it on with a TV reporter (nods. Laughs.) This just in. Okay (holds hand up for high-fives)
248,1,1,1,"Lily: Kiss her, Ted. Kiss her good."
249,1,1,1,Marshall: Kiss the crap out of that girl
250,1,1,1,"Ted: Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. (exits cab)"
251,1,1,1,Barney: Why does he get to be the best man? (Shouts out) I'M YOUR BEST FRIEND!
252,1,1,1,"Narrator: As I walked up to that door a million thoughts raced through my mind. Unfortunately, one particular thought did not."
253,1,1,1,[Flashback to Date]
254,1,1,1,Robin: I've got five dogs.
255,1,1,1,[Flashback Ends]
256,1,1,1,"(Ted presses the buzzer, dogs begin to bark. Walks down the steps back toward the cab)"
257,1,1,1,"Ted: Not good, not good, not good, not good."
258,1,1,1,Lily: No!
259,1,1,1,Marshall: Go back in there!
260,1,1,1,Barney: You're wearing a suit!
261,1,1,1,(Ted walks back toward the door)
262,1,1,1,Robin: (from window) Ted?
263,1,1,1,"Ted: Hi! (Silence) I was just uh-(hold up Smurf pen1s, aka French Horn)"
264,1,1,1,Robin: Come on up.
265,1,1,1,(Ted enters)
266,1,1,1,[In the Cab]
267,1,1,1,Marshall: He's in.
268,1,1,1,"Barney: So, (looks to the cabdriver) Ranjit... you must've done it with a Lebanese girl."
269,1,1,1,Lily: Okay-that's my Barney Limit. (Starts to leave the cab) I'm goanna see if that Bodega has a bathroom. (Leaves)
270,1,1,1,"Ranjit: Actually, I'm from Bangladesh."
271,1,1,1,Barney: The women hot there?
272,1,1,1,Ranjit: Here's a picture of my wife! (Shows picture)
273,1,1,1,Barney: (Whispers to Marshall) Simple no would have sufficed. (To Ranjit) She's lovely.
274,1,1,1,[Cut to Robin's Apartment]
275,1,1,1,"Robin: So, Ted. What brings you back to Brooklyn at one in the morning in a-suit."
276,1,1,1,Ted: I was just hoping to get those olives... that you said I could have.
277,1,1,1,Robin: Would you like those olives with some Gin and Vermouth?
278,1,1,1,Ted: Are you trying to get me drunk?
279,1,1,1,Robin: For starters (turns music on. Leaves to the kitchen)
280,1,1,1,Ted: (Looks up and mouths) Thank you.
281,1,1,1,[Cut to the Cab]
282,1,1,1,"Barney: So, Marshall. This ""Olive Theory"" based on you and Lily?"
283,1,1,1,Marshall: Yeah...
284,1,1,1,"Barney: You hate olives? Lily loves them, you can't stand them."
285,1,1,1,"Marshall: Yeah, hate olives."
286,1,1,1,"Barney: Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?"
287,1,1,1,Marshall: (looks around for sign of Lily) You have to swear that this does not leave this cab.
288,1,1,1,Barney: I swear.
289,1,1,1,Ranjit: (Cuts into conversation) I swear.
290,1,1,1,"Marshall: On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, ""Sure... I hate olives."""
291,1,1,1,Barney: But you like olives!
292,1,1,1,"Marshall: Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives."
293,1,1,1,"Barney: Marshall, I'm going to get you an early wedding present. Don't get married."
294,1,1,1,[Cut to Robin's Apartment]
295,1,1,1,"(Robin and Ted are dancing, all five dogs are watching)"
296,1,1,1,"Robin: I think I like your ""Olive Theory""."
297,1,1,1,Ted: I think I like your French Horn.
298,1,1,1,Robin: I think I like your nose.
299,1,1,1,Ted: I think I'm in love with you.
300,1,1,1,[Cut to the bar]
301,1,1,1,(After Ted tells them the story)
302,1,1,1,"Lily, Marshall and Barney: What?"
303,1,1,1,[Cut to the year 2030.]
304,1,1,1,Son and Daughter: What?
305,1,1,1,[Cut to Robin's Apartment]
306,1,1,1,Robin: What?
307,1,1,1,[Cut to the Cab]
308,1,1,1,"Barney: Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it."
309,1,1,1,"Marshall: Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women (Lily appears behind Marshall in the open window) doesn't scare me at all. I'm marrying that girl. (Lily pops her head in from the window. Marshall turns around) Lily. Lily, I like olives."
310,1,1,1,Lily: We'll make it work. (They kiss.)
311,1,1,1,Ranjit: aww.
312,1,1,1,[Cut to Robin's Apartment]
313,1,1,1,(Long Silence)
314,1,1,1,"Ted: So Orlando, you goanna hit Disney World?"
315,1,1,1,Robin: You love me?
316,1,1,1,"Ted: Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go. (Gets up)"
317,1,1,1,Robin: Hold on. (Gets up) Wait a minute. (Hands him Olives) Promised you these.
318,1,1,1,Ted: Olives. Thanks. I love you. What's wrong with me?
319,1,1,1,[Cut to cab]
320,1,1,1,"Barney: Why are we still sitting here? Let's go! We can still make last call. What do you say Lil? (Pirate Accent) Yo, ho ho and a bottle o' rum? (Silence) 'Cuz you're a pirate..."
321,1,1,1,"Lily: Okay, eye patch gone-(takes eye patch off and throws it at Barney) And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support."
322,1,1,1,Marshall: It's been like twenty minutes. You think they're doin' it?
323,1,1,1,Barney: You think they're doing it in front of the dogs?
324,1,1,1,Marshall: Doggie style. (Laughs)
325,1,1,1,Barney: I had this girl in college; she had a golden retriever-
326,1,1,1,"Lily: Okay, we can go to the bar, just stop talking."
327,1,1,1,Barney: Hit it Ranjit. (They drive off)
328,1,1,1,(Ted and Robin come out the door)
329,1,1,1,"Ted: So when you tell this story to your friends, could you avoid the word ""psycho""? I prefer...eccentric."
330,1,1,1,"Robin: Good night, psycho (smiles). (Ted sarcastically clutches heart. Realizes friends left him)"
331,1,1,1,Ted: Great (before Robin closes the door) Umm... how do I get to the F Train?
332,1,1,1,"Robin: Oh, um-two blocks (comes out) that way (points) and take a right."
333,1,1,1,"Ted: (upset/tired) Thanks. (Walks down the steps. Robin begins to walk in) You know what? (Robin stops. Ted turns around). I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser."
334,1,1,1,Robin: Everyone thinks they're a good kisser.
335,1,1,1,"Ted: Oh, I've got references."
336,1,1,1,"Robin: Good night, Ted. (Shake hands.)"
337,1,1,1,Ted: And I'm a good hand shaker
338,1,1,1,Robin: that's a pretty great hand shake. (Looks him in the eyes)
339,1,1,1,[Cut to later at the bar]
340,1,1,1,"Ted: And that was it, probably never see her again. (Silence) What?"
341,1,1,1,Marshall: That was the signal!
342,1,1,1,Lily: That long lingering handshake-you should've kissed her!
343,1,1,1,Barney: There's no such thing as the signal. But yeah-that was the signal.
344,1,1,1,(Ranjit appears)
345,1,1,1,Rangit: Signal (nods)
346,1,1,1,"Marshal: Ah, Carl thank you. Something I gotta do."
347,1,1,1,"Carl: By the way, you should've kissed her."
348,1,1,1,Ted: Carl!? (turns to friends) You guys weren't there.
349,1,1,1,(Marshall Pops cork without injuring anyone)
350,1,1,1,Lily: I am so turned on right now.
351,1,1,1,"Ted: Guys, trust me. I've seen the signal. That was not the signal."
352,1,1,1,"Barney: Yeah Ted, we're not on you anymore."
353,1,1,1,Marshall: (Toasting) To my fiancé!
354,1,1,1,Lily: (smiles) to the future!
355,1,1,1,Ranjit: To one hell of a night!
356,1,1,1,Ted: That was not the signal!
357,1,1,1,(Scene pans out)
358,1,1,1,"Narrator: I asked her about it years later, and yeah, that was the signal. I could've kissed her. But that's the funny thing about destiny."
359,1,1,1,[Flashback to Robin Throwing Drink in Ted's face]
360,1,1,1,Narrator:... it happens whether you plan it or not. I mean I...
361,1,1,1,"[Flashback to Robin laughing at Ted's ""Smurf pen1s"" joke]"
362,1,1,1,Narrator:... never thought I'd see that girl again. But it...
363,1,1,1,[Flashback to Robin looking down at Ted from her apartment window]
364,1,1,1,"Narrator:...turns out, I was just too close..."
365,1,1,1,[Flashback to Robin and Ted dancing]
366,1,1,1,Narrator:...to the puzzle to see the picture that was forming. Because that kids...
367,1,1,1,[Cut to year 2030. Kids intently listening keenly interested]
368,1,1,1,"Narrator:...is the true story, of how I met your Aunt Robin."
369,1,1,1,Son: Aunt Robin?
370,1,1,1,Daughter: I thought this was about how you met mom!
371,1,1,1,Narrator: Will you relax? I'm getting to it. (Son and daughter sit back unpleased) like I said:
372,1,1,1,[Cut to panning out at the bar]
373,1,1,1,Narrator:...it's a long story.
374,2,1,2,Scene One
375,2,1,2,[Title: The Year 2030]
376,2,1,2,"Narrator: Okay, where was I?"
377,2,1,2,Daughter: You were telling us how you met mom.
378,2,1,2,Son: In excruciating detail...
379,2,1,2,"Narrator: Right, so (While Flashbacks take place) back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, ""Maybe I should get married."" Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in."
380,2,1,2,"Barney: I suggest we play a little game I like to call, ""Have you Met Ted?"""
381,2,1,2,"Ted: No, no, no-we're not playing ""Have you Met Ted!"""
382,2,1,2,Barney: (Taps Robin's shoulder) Hi! Have you met Ted? (Leaves)
383,2,1,2,"Narrator: So I asked her out, and I know this sounds crazy... but after just one date, I was in love with her, which made me say something stupid"
384,2,1,2,Ted: I think I'm in love with you.
385,2,1,2,Robin: What?
386,2,1,2,[Cut to Year 2030]
387,2,1,2,"Daughter: Oh, Dad."
388,2,1,2,Son: So then what happened?
389,2,1,2,"Narrator: Nothing. I mean, I made a complete fool of myself. So... a week went by and I decided not to call her."
390,2,1,2,[Cut to Entering the Bar]
391,2,1,2,"(As Marshell, Barney and Ted enter)"
392,2,1,2,"Marshall: So you're not goanna call her? You went from, ""I think I'm in love with you"" to ""I'm not gonna call her?"""
393,2,1,2,"Ted: I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin. (Finds Lily and Robin chatting at a table.) Robin!"
394,2,1,2,Robin: Hey!
395,2,1,2,Lily: Look who I ran into!
396,2,1,2,Ted: Since when do you guys know each other?
397,2,1,2,"Robin: Uh... since about (points to glass) here. Lily recognized me from the news and-(Lily and Marshall kiss) Hello, Sailor!"
398,2,1,2,Ted: They just got engaged.
399,2,1,2,"Robin: Well, I should get back to the station. See you guys. (Marshall raises a hand while still kissing Lily) Nice seeing you, Ted."
400,2,1,2,"Ted: Yeah, you too. (Robin leaves, Barney walks closer) Damn it."
